;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_X33_title;Grant Slavonia Independence;;;;;;;;;;;;x,,
gtfo_X33_desc;We've had a good run, but it's time to end our rulership of Slavonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X34_title;Grant Mitsuro Independence;;;;;;;;;;;;x,,
gtfo_X34_desc;We've had a good run, but it's time to end our rulership of Mitsuro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X35_title;Grant Verona Independence;;;;;;;;;;;;x,,
gtfo_X35_desc;We've had a good run, but it's time to end our rulership of Verona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X36_title;Grant Vinland Independence;;;;;;;;;;;;x,,
gtfo_X36_desc;We've had a good run, but it's time to end our rulership of Vinland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X37_title;Grant Khazar Khaganate Independence;;;;;;;;;;;;x,,
gtfo_X37_desc;We've had a good run, but it's time to end our rulership of Khazar Khaganate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X38_title;Grant Kirchberg Knights Independence;;;;;;;;;;;;x,,
gtfo_X38_desc;We've had a good run, but it's time to end our rulership of Kirchberg Knights: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X39_title;Grant Sandomierz Independence;;;;;;;;;;;;x,,
gtfo_X39_desc;We've had a good run, but it's time to end our rulership of Sandomierz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X40_title;Grant Windic March Independence;;;;;;;;;;;;x,,
gtfo_X40_desc;We've had a good run, but it's time to end our rulership of Windic March: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X41_title;Grant Provence Independence;;;;;;;;;;;;x,,
gtfo_X41_desc;We've had a good run, but it's time to end our rulership of Provence: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X42_title;Grant Septimania Independence;;;;;;;;;;;;x,,
gtfo_X42_desc;We've had a good run, but it's time to end our rulership of Septimania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X43_title;Grant Dughlats Independence;;;;;;;;;;;;x,,
gtfo_X43_desc;We've had a good run, but it's time to end our rulership of Dughlats: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X44_title;Grant Zhetysu Independence;;;;;;;;;;;;x,,
gtfo_X44_desc;We've had a good run, but it's time to end our rulership of Zhetysu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X45_title;Grant Artois Independence;;;;;;;;;;;;x,,
gtfo_X45_desc;We've had a good run, but it's time to end our rulership of Artois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X46_title;Grant Assab Independence;;;;;;;;;;;;x,,
gtfo_X46_desc;We've had a good run, but it's time to end our rulership of Assab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X47_title;Grant Bârladian Independence;;;;;;;;;;;;x,,
gtfo_X47_desc;We've had a good run, but it's time to end our rulership of Bârladian: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X48_title;Grant Aramia Independence;;;;;;;;;;;;x,,
gtfo_X48_desc;We've had a good run, but it's time to end our rulership of Aramia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X49_title;Grant Atri Independence;;;;;;;;;;;;x,,
gtfo_X49_desc;We've had a good run, but it's time to end our rulership of Atri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X50_title;Grant Hálogalandi Independence;;;;;;;;;;;;x,,
gtfo_X50_desc;We've had a good run, but it's time to end our rulership of Hálogalandi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X51_title;Grant Kashgar Independence;;;;;;;;;;;;x,,
gtfo_X51_desc;We've had a good run, but it's time to end our rulership of Kashgar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X52_title;Grant Jersika Independence;;;;;;;;;;;;x,,
gtfo_X52_desc;We've had a good run, but it's time to end our rulership of Jersika: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X53_title;Grant Kænlandi Independence;;;;;;;;;;;;x,,
gtfo_X53_desc;We've had a good run, but it's time to end our rulership of Kænlandi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X54_title;Grant Danmark Independence;;;;;;;;;;;;x,,
gtfo_X54_desc;We've had a good run, but it's time to end our rulership of Danmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X55_title;Grant Kuroshima Independence;;;;;;;;;;;;x,,
gtfo_X55_desc;We've had a good run, but it's time to end our rulership of Kuroshima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X56_title;Grant Proven0al Colombia Independence;;;;;;;;;;;;x,,
gtfo_X56_desc;We've had a good run, but it's time to end our rulership of Proven0al Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X57_title;Grant Noard-Meksiko Independence;;;;;;;;;;;;x,,
gtfo_X57_desc;We've had a good run, but it's time to end our rulership of Noard-Meksiko: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X58_title;Grant Guadalupei Szuzanya Independence;;;;;;;;;;;;x,,
gtfo_X58_desc;We've had a good run, but it's time to end our rulership of Guadalupei Szuzanya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X59_title;Grant Mamiyajima Independence;;;;;;;;;;;;x,,
gtfo_X59_desc;We've had a good run, but it's time to end our rulership of Mamiyajima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAF_title;Grant Bambouk Independence;;;;;;;;;;;;x,,
gtfo_ZAF_desc;We've had a good run, but it's time to end our rulership of Bambouk: if you love something, let it go!;;;;;;;;;;;;x
